order_date,daily_order_count,moving_avg_week,cumulative_order_count
2017-01-05,64,64.0,64.0
2017-01-06,8,36.0,72.0
2017-01-07,8,26.67,80.0
2017-01-08,12,23.0,92.0
2017-01-09,10,20.4,102.0
2017-01-10,12,19.0,114.0
2017-01-11,24,19.71,138.0
2017-01-12,26,14.29,164.0
2017-01-13,24,16.57,188.0
2017-01-14,36,20.57,224.0
2017-01-15,28,22.86,252.0
2017-01-16,38,26.86,290.0
2017-01-17,64,34.29,354.0
2017-01-18,66,40.29,420.0
2017-01-19,58,44.86,478.0
2017-01-20,58,49.71,536.0
2017-01-21,48,51.43,584.0
2017-01-22,62,56.29,646.0
2017-01-23,78,62.0,724.0
2017-01-24,80,64.29,804.0
2017-01-25,126,72.86,930.0
2017-01-26,172,89.14,1102.0
2017-01-27,124,98.57,1226.0
2017-01-28,58,100.0,1284.0
2017-01-29,70,101.14,1354.0
2017-01-30,106,105.14,1460.0
2017-01-31,140,113.71,1600.0
2017-02-01,146,116.57,1746.0
2017-02-02,138,111.71,1884.0
2017-02-03,120,111.14,2004.0
2017-02-04,134,122.0,2138.0
2017-02-05,150,133.43,2288.0
2017-02-06,170,142.57,2458.0
2017-02-07,224,154.57,2682.0
2017-02-08,190,160.86,2872.0
2017-02-09,154,163.14,3026.0
2017-02-10,132,164.86,3158.0
2017-02-11,98,159.71,3256.0
2017-02-12,128,156.57,3384.0
2017-02-13,156,154.57,3540.0
2017-02-14,152,144.29,3692.0
2017-02-15,124,134.86,3816.0
2017-02-16,110,128.57,3926.0
2017-02-17,92,122.86,4018.0
2017-02-18,108,124.29,4126.0
2017-02-19,80,117.43,4206.0
2017-02-20,126,113.14,4332.0
2017-02-21,82,103.14,4414.0
2017-02-22,126,103.43,4540.0
2017-02-23,118,104.57,4658.0
2017-02-24,128,109.71,4786.0
2017-02-25,86,106.57,4872.0
2017-02-26,92,108.29,4964.0
2017-02-27,86,102.57,5050.0
2017-02-28,110,106.57,5160.0
2017-03-01,198,116.86,5358.0
2017-03-02,144,120.57,5502.0
2017-03-03,148,123.43,5650.0
2017-03-04,160,134.0,5810.0
2017-03-05,148,142.0,5958.0
2017-03-06,210,159.71,6168.0
2017-03-07,164,167.43,6332.0
2017-03-08,158,161.71,6490.0
2017-03-09,186,167.71,6676.0
2017-03-10,176,171.71,6852.0
2017-03-11,142,169.14,6994.0
2017-03-12,128,166.29,7122.0
2017-03-13,222,168.0,7344.0
2017-03-14,198,172.86,7542.0
2017-03-15,216,181.14,7758.0
2017-03-16,206,184.0,7964.0
2017-03-17,130,177.43,8094.0
2017-03-18,146,178.0,8240.0
2017-03-19,112,175.71,8352.0
2017-03-20,238,178.0,8590.0
2017-03-21,194,177.43,8784.0
2017-03-22,210,176.57,8994.0
2017-03-23,228,179.71,9222.0
2017-03-24,158,183.71,9380.0
2017-03-25,152,184.57,9532.0
2017-03-26,128,186.86,9660.0
2017-03-27,222,184.57,9882.0
2017-03-28,206,186.29,10088.0
2017-03-29,148,177.43,10236.0
2017-03-30,148,166.0,10384.0
2017-03-31,140,163.43,10524.0
2017-04-01,136,161.14,10660.0
2017-04-02,130,161.43,10790.0
2017-04-03,144,150.29,10934.0
2017-04-04,192,148.29,11126.0
2017-04-05,192,154.57,11318.0
2017-04-06,192,160.86,11510.0
2017-04-07,170,165.14,11680.0
2017-04-08,136,165.14,11816.0
2017-04-09,146,167.43,11962.0
2017-04-10,174,171.71,12136.0
2017-04-11,156,166.57,12292.0
2017-04-12,126,157.14,12418.0
2017-04-13,120,146.86,12538.0
2017-04-14,108,138.0,12646.0
2017-04-15,104,133.43,12750.0
2017-04-16,98,126.57,12848.0
2017-04-17,130,120.29,12978.0
2017-04-18,142,118.29,13120.0
2017-04-19,194,128.0,13314.0
2017-04-20,196,138.86,13510.0
2017-04-21,136,142.86,13646.0
2017-04-22,168,152.0,13814.0
2017-04-23,176,163.14,13990.0
2017-04-24,230,177.43,14220.0
2017-04-25,222,188.86,14442.0
2017-04-26,250,196.86,14692.0
2017-04-27,160,191.71,14852.0
2017-04-28,196,200.29,15048.0
2017-04-29,148,197.43,15196.0
2017-04-30,136,191.71,15332.0
2017-05-01,234,192.29,15566.0
2017-05-02,256,197.14,15822.0
2017-05-03,206,190.86,16028.0
2017-05-04,218,199.14,16246.0
2017-05-05,222,202.86,16468.0
2017-05-06,218,212.86,16686.0
2017-05-07,222,225.14,16908.0
2017-05-08,248,227.14,17156.0
2017-05-09,256,227.14,17412.0
2017-05-10,232,230.86,17644.0
2017-05-11,252,235.71,17896.0
2017-05-12,230,236.86,18126.0
2017-05-13,146,226.57,18272.0
2017-05-14,224,226.86,18496.0
2017-05-15,314,236.29,18810.0
2017-05-16,306,243.43,19116.0
2017-05-17,282,250.57,19398.0
2017-05-18,250,250.29,19648.0
2017-05-19,288,258.57,19936.0
2017-05-20,144,258.29,20080.0
2017-05-21,296,268.57,20376.0
2017-05-22,296,266.0,20672.0
2017-05-23,250,258.0,20922.0
2017-05-24,284,258.29,21206.0
2017-05-25,216,253.43,21422.0
2017-05-26,160,235.14,21582.0
2017-05-27,166,238.29,21748.0
2017-05-28,196,224.0,21944.0
2017-05-29,320,227.43,22264.0
2017-05-30,210,221.71,22474.0
2017-05-31,258,218.0,22732.0
2017-06-01,248,222.57,22980.0
2017-06-02,254,236.0,23234.0
2017-06-03,178,237.71,23412.0
2017-06-04,204,238.86,23616.0
2017-06-05,294,235.14,23910.0
2017-06-06,268,243.43,24178.0
2017-06-07,258,243.43,24436.0
2017-06-08,274,247.14,24710.0
2017-06-09,216,241.71,24926.0
2017-06-10,154,238.29,25080.0
2017-06-11,230,242.0,25310.0
2017-06-12,252,236.0,25562.0
2017-06-13,252,233.71,25814.0
2017-06-14,262,234.29,26076.0
2017-06-15,216,226.0,26292.0
2017-06-16,194,222.86,26486.0
2017-06-17,150,222.29,26636.0
2017-06-18,180,215.14,26816.0
2017-06-19,312,223.71,27128.0
2017-06-20,188,214.57,27316.0
2017-06-21,70,187.14,27386.0
2017-06-22,176,181.43,27562.0
2017-06-23,214,184.29,27776.0
2017-06-24,152,184.57,27928.0
2017-06-25,210,188.86,28138.0
2017-06-26,144,164.86,28282.0
2017-06-27,282,178.29,28564.0
2017-06-28,240,202.57,28804.0
2017-06-29,228,210.0,29032.0
2017-06-30,190,206.57,29222.0
2017-07-01,160,207.71,29382.0
2017-07-02,216,208.57,29598.0
2017-07-03,236,221.71,29834.0
2017-07-04,250,217.14,30084.0
2017-07-05,290,224.29,30374.0
2017-07-06,308,235.71,30682.0
2017-07-07,242,243.14,30924.0
2017-07-08,168,244.29,31092.0
2017-07-09,188,240.29,31280.0
2017-07-10,286,247.43,31566.0
2017-07-11,330,258.86,31896.0
2017-07-12,306,261.14,32202.0
2017-07-13,274,256.29,32476.0
2017-07-14,298,264.29,32774.0
2017-07-15,196,268.29,32970.0
2017-07-16,228,274.0,33198.0
2017-07-17,336,281.14,33534.0
2017-07-18,384,288.86,33918.0
2017-07-19,306,288.86,34224.0
2017-07-20,284,290.29,34508.0
2017-07-21,230,280.57,34738.0
2017-07-22,176,277.71,34914.0
2017-07-23,210,275.14,35124.0
2017-07-24,324,273.43,35448.0
2017-07-25,306,262.29,35754.0
2017-07-26,248,254.0,36002.0
2017-07-27,248,248.86,36250.0
2017-07-28,264,253.71,36514.0
2017-07-29,230,261.43,36744.0
2017-07-30,234,264.86,36978.0
2017-07-31,296,260.86,37274.0
2017-08-01,330,264.29,37604.0
2017-08-02,314,273.71,37918.0
2017-08-03,296,280.57,38214.0
2017-08-04,284,283.43,38498.0
2017-08-05,230,283.43,38728.0
2017-08-06,218,281.14,38946.0
2017-08-07,314,283.71,39260.0
2017-08-08,292,278.29,39552.0
2017-08-09,288,274.57,39840.0
2017-08-10,314,277.14,40154.0
2017-08-11,282,276.86,40436.0
2017-08-12,196,272.0,40632.0
2017-08-13,192,268.29,40824.0
2017-08-14,318,268.86,41142.0
2017-08-15,388,282.57,41530.0
2017-08-16,348,291.14,41878.0
2017-08-17,316,291.43,42194.0
2017-08-18,294,293.14,42488.0
2017-08-19,216,296.0,42704.0
2017-08-20,208,298.29,42912.0
2017-08-21,354,303.43,43266.0
2017-08-22,276,287.43,43542.0
2017-08-23,224,269.71,43766.0
2017-08-24,256,261.14,44022.0
2017-08-25,246,254.29,44268.0
2017-08-26,186,250.0,44454.0
2017-08-27,238,254.29,44692.0
2017-08-28,310,248.0,45002.0
2017-08-29,274,247.71,45276.0
2017-08-30,362,267.43,45638.0
2017-08-31,298,273.43,45936.0
2017-09-01,316,283.43,46252.0
2017-09-02,208,286.57,46460.0
2017-09-03,250,288.29,46710.0
2017-09-04,300,286.86,47010.0
2017-09-05,314,292.57,47324.0
2017-09-06,280,280.86,47604.0
2017-09-07,198,266.57,47802.0
2017-09-08,232,254.57,48034.0
2017-09-09,212,255.14,48246.0
2017-09-10,272,258.29,48518.0
2017-09-11,360,266.86,48878.0
2017-09-12,412,280.86,49290.0
2017-09-13,414,300.0,49704.0
2017-09-14,332,319.14,50036.0
2017-09-15,300,328.86,50336.0
2017-09-16,258,335.43,50594.0
2017-09-17,252,332.57,50846.0
2017-09-18,366,333.43,51212.0
2017-09-19,308,318.57,51520.0
2017-09-20,326,306.0,51846.0
2017-09-21,300,301.43,52146.0
2017-09-22,276,298.0,52422.0
2017-09-23,176,286.29,52598.0
2017-09-24,236,284.0,52834.0
2017-09-25,272,270.57,53106.0
2017-09-26,360,278.0,53466.0
2017-09-27,294,273.43,53760.0
2017-09-28,286,271.43,54046.0
2017-09-29,242,266.57,54288.0
2017-09-30,218,272.57,54506.0
2017-10-01,256,275.43,54762.0
2017-10-02,286,277.43,55048.0
2017-10-03,396,282.57,55444.0
2017-10-04,314,285.43,55758.0
2017-10-05,280,284.57,56038.0
2017-10-06,260,287.14,56298.0
2017-10-07,210,286.0,56508.0
2017-10-08,252,285.43,56760.0
2017-10-09,386,299.71,57146.0
2017-10-10,370,296.0,57516.0
2017-10-11,316,296.29,57832.0
2017-10-12,286,297.14,58118.0
2017-10-13,308,304.0,58426.0
2017-10-14,232,307.14,58658.0
2017-10-15,242,305.71,58900.0
2017-10-16,390,306.29,59290.0
2017-10-17,404,311.14,59694.0
2017-10-18,358,317.14,60052.0
2017-10-19,352,326.57,60404.0
2017-10-20,248,318.0,60652.0
2017-10-21,226,317.14,60878.0
2017-10-22,316,327.71,61194.0
2017-10-23,322,318.0,61516.0
2017-10-24,328,307.14,61844.0
2017-10-25,312,300.57,62156.0
2017-10-26,288,291.43,62444.0
2017-10-27,266,294.0,62710.0
2017-10-28,176,286.86,62886.0
2017-10-29,264,279.43,63150.0
2017-10-30,298,276.0,63448.0
2017-10-31,320,274.86,63768.0
2017-11-01,222,262.0,63990.0
2017-11-02,248,256.29,64238.0
2017-11-03,286,259.14,64524.0
2017-11-04,222,265.71,64746.0
2017-11-05,288,269.14,65034.0
2017-11-06,386,281.71,65420.0
2017-11-07,320,281.71,65740.0
2017-11-08,350,300.0,66090.0
2017-11-09,382,319.14,66472.0
2017-11-10,330,325.43,66802.0
2017-11-11,318,339.14,67120.0
2017-11-12,348,347.71,67468.0
2017-11-13,410,351.14,67878.0
2017-11-14,384,360.29,68262.0
2017-11-15,372,363.43,68634.0
2017-11-16,452,373.43,69086.0
2017-11-17,394,382.57,69480.0
2017-11-18,298,379.71,69778.0
2017-11-19,316,375.14,70094.0
2017-11-20,460,382.29,70554.0
2017-11-21,456,392.57,71010.0
2017-11-22,402,396.86,71412.0
2017-11-23,566,413.14,71978.0
2017-11-24,2352,692.86,74330.0
2017-11-25,998,792.86,75328.0
2017-11-26,782,859.43,76110.0
2017-11-27,806,908.86,76916.0
2017-11-28,760,952.29,77676.0
2017-11-29,646,987.14,78322.0
2017-11-30,534,982.57,78856.0
2017-12-01,550,725.14,79406.0
2017-12-02,432,644.29,79838.0
2017-12-03,468,599.43,80306.0
2017-12-04,674,580.57,80980.0
2017-12-05,564,552.57,81544.0
2017-12-06,560,540.29,82104.0
2017-12-07,458,529.43,82562.0
2017-12-08,438,513.43,83000.0
2017-12-09,310,496.0,83310.0
2017-12-10,380,483.43,83690.0
2017-12-11,534,463.43,84224.0
2017-12-12,520,457.14,84744.0
2017-12-13,436,439.43,85180.0
2017-12-14,400,431.14,85580.0
2017-12-15,384,423.43,85964.0
2017-12-16,262,416.57,86226.0
2017-12-17,266,400.29,86492.0
2017-12-18,418,383.71,86910.0
2017-12-19,352,359.71,87262.0
2017-12-20,342,346.29,87604.0
2017-12-21,286,330.0,87890.0
2017-12-22,222,306.86,88112.0
2017-12-23,218,300.57,88330.0
2017-12-24,118,279.43,88448.0
2017-12-25,180,245.43,88628.0
2017-12-26,336,243.14,88964.0
2017-12-27,334,242.0,89298.0
2017-12-28,292,242.86,89590.0
2017-12-29,270,249.71,89860.0
2017-12-30,194,246.29,90054.0
2017-12-31,148,250.57,90202.0
